#BBC Food Ontology. Available online, http://www.bbc.co.uk/ontologies/fo
Person
Creative Work
Season
News Service
Live Event Page
Course
Web Document
Diet
Document
Group
Technique
Format
Platform
Creative Work Graph
Travel Incident
Audience
Thing Graph
Online E-commerce Account
Recipe
Organization
Menu
Online Chat Account
Label Property
Category
Thumbnail Type
Live Coverage
News Item
Blog Post
Collection
Episode
Image
Ingredient
Step
Agent
Online Gaming Account
Weather Alert
Personal Profile Document
Clip
Thumbnail
Web Document Category
Product
Graph
Shopping Category
Stage
Project
Commentary
Stage Sequence
Ingredient List
Dataset
Food
Online Account
Occasion
Cuisine
Transition Ontology
Method
Ontology
Programme
