#Target Ontology terminology
fresh_foods|food that is not preserved by canning or dehydration or freezing or smoking
frozen_food|food preserved by freezing
frozen_foods|food preserved by freezing
fruit|an amount of a product
fruit_crush|drink produced by squeezing or crushing fruit
fruit_drink|a sweetened beverage of diluted fruit juice
fruit_juice|drink produced by squeezing or crushing fruit
garden_truck|fresh fruits and vegetable grown for the market
generation|the production of heat or electricity; "dams were built for the generation of electricity"
ginger_beer|carbonated slightly alcoholic drink flavored with fermented ginger
grain|foodstuff prepared from the starchy grains of cereal grasses
green_goods|fresh fruits and vegetable grown for the market
green_groceries|fresh fruits and vegetable grown for the market
greengrocery|groceries sold by a greengrocer
grocery|(usually plural) consumer goods sold by a grocer
growing|(electronics) the production of (semiconductor) crystals by slow crystallization from the molten state
gulp|a large and hurried swallow; "he finished it at a single gulp"
hair_of_the_dog|an alcoholic drink supposed to cure a hangover
health_food|any natural or prepared food popularly believed to promote good health
hot_chocolate|a beverage made from cocoa powder and milk and sugar; usually drunk hot
hydromel|honey diluted in water; becomes mead when fermented
ice-cream_float|a drink with ice cream floating in it
ice-cream_soda|a drink with ice cream floating in it
inebriant|a liquor or brew containing alcohol as the active agent; "alcohol (or drink) ruined him"
ingredient|food that is a component of a mixture in cooking; "the recipe lists all the fixings for a salad"
inspiration|a product of your creative thinking and work; "he had little respect for the inspirations of other artists"; "after years of work his brainchild was a tangible reality"
intellectual_nourishment|anything that provides mental stimulus for thinking
intermixture|any foodstuff made by combining different ingredients; "he volunteered to taste her latest concoction"; "he drank a mixture of beer and lemonade"
intoxicant|a liquor or brew containing alcohol as the active agent; "alcohol (or drink) ruined him"
java|a beverage consisting of an infusion of ground coffee beans; "he ordered a cup of coffee"
job|an object worked on; a result produced by working; "he held the job in his left hand and worked on it with his right"
juice|the liquid part that can be extracted from plant or animal tissue
junk_food|food that tastes good but is high in calories having little nutritional value
leftovers|food remaining from a previous meal; "he had leftovers for dinner last night"
libation|(facetious) a serving of an alcoholic beverage
magazine|product consisting of a paperback periodic publication as a physical object; "tripped over a pile of magazines"
making|the act that results in something coming to be; "the devising of plans"; "the fashioning of pots and pans"; "the making of measurements"; "it was already in the making"
manna|(Old Testament) food that God gave the Israelites during the Exodus
manna_from_heaven|(Old Testament) food that God gave the Israelites during the Exodus
mass_production|the production of large quantities of a standardized article (often using assembly line techniques)
mate|South American tea-like drink made from leaves of a South American holly called mate
meal|coarsely ground foodstuff; especially seeds of various cereal grasses or pulse
meat|the flesh of animals (including fishes and birds and snails) used as food
milk|any of several nutritive milklike liquids
milk_shake|frothy drink of milk and flavoring and sometimes fruit or ice cream
milkshake|frothy drink of milk and flavoring and sometimes fruit or ice cream
mining|the act of extracting ores or coal etc from the earth
miraculous_food|(Old Testament) food that God gave the Israelites during the Exodus
mixer|club soda or fruit juice used to mix with alcohol
mixture|any foodstuff made by combining different ingredients; "he volunteered to taste her latest concoction"; "he drank a mixture of beer and lemonade"
near_beer|drink that resembles beer but with less than 1/2 percent alcohol
newspaper|the physical object that is the product of a newspaper publisher; "when it began to rain he covered his head with a newspaper"
nightcap|an alcoholic drink taken at bedtime; often alcoholic
nourishment|a source of materials to nourish the body
nutrient|any substance that can be metabolized by an organism to give energy and build tissue
nutriment|a source of materials to nourish the body
nutrition|a source of materials to nourish the body
oenomel|wine mixed with honey
oil_production|the act of drilling a hole in the earth in the hope of producing petroleum
output|production of a certain amount
outturn|what is produced in a given time period
overproduction|too much production or more than expected
overrun|too much production or more than expected
pabulum|any substance that can be used as food
packaged_goods|groceries that are packaged for sale
paper|the physical object that is the product of a newspaper publisher; "when it began to rain he covered his head with a newspaper"
pasta|shaped and dried dough made from flour and water and sometimes egg
perishable|food that will decay rapidly if not refrigerated
pick|the quantity of a crop that is harvested; "he sent the first picking of berries to the market"; "it was the biggest peach pick in years"
picking|the quantity of a crop that is harvested; "he sent the first picking of berries to the market"; "it was the biggest peach pick in years"
piece_of_work|a product produced or accomplished through the effort or activity or agency of a person or thing; "it is not regarded as one of his more memorable works"; "the symphony was hailed as an ingenious work"; "he was indebted to the pioneering work of John Dewey"; "the work of an active imagination"; "erosion is the work of wind or water over time"
pledge|a drink in honor of or to the health of a person or event
posset|sweet spiced hot milk curdled with ale or beer
potable|any liquid suitable for drinking; "may I take your beverage order?"
potation|a serving of drink (usually alcoholic) drawn from a keg; "they served beer on draft"
potion|a medicinal or magical or poisonous beverage
produce|fresh fruits and vegetable grown for the market
product|an artifact that has been created by someone or some process; "they improve their product every year"; "they export most of their agricultural production"
production|(economics) manufacturing or mining or growing something (usually in large quantities) for sale; "he introduced more efficient methods of production"
provender|a stock or supply of foods
provisions|a stock or supply of foods
quarrying|the extraction of building stone or slate from an open surface quarry
rainmaking|activity intended to produce rain
refresher|a drink that refreshes; "he stopped at the bar for a quick refresher"
roughage|coarse food high in fiber but low in nutrients; its bulk stimulates peristalsis
sangaree|sweetened red wine and orange or lemon juice with soda water
sangria|sweetened red wine and orange or lemon juice with soda water
seafood|edible fish (broadly including freshwater fish) or shellfish or roe etc
sericulture|the production of raw silk by raising silkworms
shake|frothy drink of milk and flavoring and sometimes fruit or ice cream
shandy|a drink made of beer and lemonade
shandygaff|a drink made of beer and lemonade
sillabub|spiced hot milk with rum or wine
sip|a small drink
slop|(usually plural) weak or watery unappetizing food or drink; "he lived on the thin slops that food kitchens provided"
smoothie|a thick smooth drink consisting of fresh fruit pureed with ice cream or yoghurt or milk
soft_drink|nonalcoholic beverage (usually carbonated)
solid_food|any solid substance (as opposed to liquid) that is used as a source of nourishment; "food and drink"
soul_food|food traditionally eaten by African-Americans in the South
spin-off|a product made during the manufacture of something else
spoilable|food that will decay rapidly if not refrigerated
staging|the production of a drama on the stage
steel_production|making steel from pig iron
stirrup_cup|a farewell drink (especially one offered to a horseman ready to depart); usually alcoholic
sundowner|a drink taken at sundown
sustenance|a source of materials to nourish the body
swallow|the act of swallowing; "one swallow of the liquid was enough"; "he took a drink of his beer and smacked his lips"
swig|a large and hurried swallow; "he finished it at a single gulp"
syllabub|spiced hot milk with rum or wine
tapioca|granular preparation of cassava starch used to thicken especially puddings
tea|a beverage made by steeping tea leaves in water; "iced tea is a cooling drink"
tea-like_drink|a beverage that resembles tea but is not made from tea leaves
theatrical_production|the production of a drama on the stage
tinned_goods|food preserved by canning
tipple|a serving of drink (usually alcoholic) drawn from a keg; "they served beer on draft"
toast|a drink in honor of or to the health of a person or event
turnery|products made on a lathe
turnout|what is produced in a given time period
underproduction|inadequate production or less than expected
viands|a stock or supply of foods
victual|any substance that can be used as food
victuals|any substance that can be used as food
vitellus|nutritive material of an ovum stored for the nutrition of an embryo (especially the yellow mass of a bird or reptile egg)
volume|physical objects consisting of a number of pages bound together; "he used a large book as a doorstop"
water|a fluid necessary for the life of most animals and plants; "he asked for a drink of water"
whiskey_neat|a drink consisting of whiskey without a mixer; "he ordered a whiskey neat"
whiskey_on_the_rocks|whiskey with ice
whisky_neat|a drink consisting of whiskey without a mixer; "he ordered a whiskey neat"
whisky_on_the_rocks|whiskey with ice
wish-wash|any thin watery drink
work|a product produced or accomplished through the effort or activity or agency of a person or thing; "it is not regarded as one of his more memorable works"; "the symphony was hailed as an ingenious work"; "he was indebted to the pioneering work of John Dewey"; "the work of an active imagination"; "erosion is the work of wind or water over time"
yield|production of a certain amount
yoghourt|a custard-like food made from curdled milk
yoghurt|a custard-like food made from curdled milk
yogurt|a custard-like food made from curdled milk
yolk|nutritive material of an ovum stored for the nutrition of an embryo (especially the yellow mass of a bird or reptile egg)
Food processing|is the transformation of raw ingredients, by physical or chemical means into food, or of food into other forms
mincing|...
macerating|...
liquefaction|...
emulsification|...
cooking|...
boiling|...
broiling|...
frying|...
grilling|...
pickling|...
pasteurization|...
Food preservation|...
Drying|...
Cooling|...
Freezing|...
Boiling|...
Heating|...
Salting|...
Sugaring|...
Smoking|...
Pickling|...
Lye|...
Canning|...
Jellying|...
Jugging|...
Burial|...
Curing|...
Fermentation|...
Industrial/modern techniques|...
Pasteurization|...
Vacuum packing|...
Artificial food additives|...
Radiation|...
Pulsed electric field electroporation|...
Modified atmosphere|...
Nonthermal plasma|...
High-pressure food preservation|...
Biopreservation|...
Hurdle technology|...
canning|...
packaging|...
